caldt,vwretd
11/30/1981,0.043827
12/31/1981,-0.027059
01/29/1982,-0.015367
02/26/1982,-0.050441
03/31/1982,-0.006805
04/30/1982,0.041550
05/28/1982,-0.029505
06/30/1982,-0.015779
07/30/1982,-0.020199
08/31/1982,0.127402
09/30/1982,0.010496
10/29/1982,0.113863
11/30/1982,0.045754
12/31/1982,0.016835
01/31/1983,0.035293
02/28/1983,0.025733
03/31/1983,0.035470
04/29/1983,0.075719
05/31/1983,-0.005687
06/30/1983,0.036970
07/29/1983,-0.031238
08/31/1983,0.015864
09/30/1983,0.014105
10/31/1983,-0.013108
11/30/1983,0.023846
12/30/1983,-0.005749
01/31/1984,-0.003898
02/29/1984,-0.034034
03/30/1984,0.017295
04/30/1984,0.006781
05/31/1984,-0.053131
06/29/1984,0.022937
07/31/1984,-0.013765
08/31/1984,0.112438
09/28/1984,-0.000064
10/31/1984,0.003331
11/30/1984,-0.009841
12/31/1984,0.025556
01/31/1985,0.076868
02/28/1985,0.014166
03/29/1985,-0.000636
04/30/1985,-0.003704
05/31/1985,0.062740
06/28/1985,0.016065
07/31/1985,-0.003321
08/30/1985,-0.006473
09/30/1985,-0.033248
10/31/1985,0.045079
11/29/1985,0.071887
12/31/1985,0.048156
01/31/1986,0.004706
02/28/1986,0.076525
03/31/1986,0.055832
04/30/1986,-0.013348
05/30/1986,0.055326
06/30/1986,0.015744
07/31/1986,-0.057541
08/29/1986,0.074417
09/30/1986,-0.083243
10/31/1986,0.056538
11/28/1986,0.024876
12/31/1986,-0.027513
01/30/1987,0.135183
02/27/1987,0.041778
03/31/1987,0.026336
04/30/1987,-0.009045
05/29/1987,0.009128
06/30/1987,0.050140
07/31/1987,0.049843
08/31/1987,0.039108
09/30/1987,-0.021940
10/30/1987,-0.215795
11/30/1987,-0.081874
12/31/1987,0.073922
01/29/1988,0.042712
02/29/1988,0.047445
03/31/1988,-0.030847
04/29/1988,0.010516
05/31/1988,0.008012
06/30/1988,0.047676
07/29/1988,-0.004458
08/31/1988,-0.032488
09/30/1988,0.042739
10/31/1988,0.026891
11/30/1988,-0.014355
12/30/1988,0.018553
01/31/1989,0.072303
02/28/1989,-0.025031
03/31/1989,0.023038
04/28/1989,0.051707
05/31/1989,0.041022
06/30/1989,-0.005611
07/31/1989,0.090053
08/31/1989,0.019853
09/29/1989,-0.004004
10/31/1989,-0.023639
11/30/1989,0.020479
12/29/1989,0.022657
01/31/1990,-0.067661
02/28/1990,0.013381
03/30/1990,0.026588
04/30/1990,-0.024504
05/31/1990,0.097419
06/29/1990,-0.006754
07/31/1990,-0.004454
08/31/1990,-0.090801
09/28/1990,-0.048959
10/31/1990,-0.003597
11/30/1990,0.064561
12/31/1990,0.027987
01/31/1991,0.045001
02/28/1991,0.071565
03/28/1991,0.024354
04/30/1991,0.002268
05/31/1991,0.042930
06/28/1991,-0.045357
07/31/1991,0.046526
08/30/1991,0.023885
09/30/1991,-0.016861
10/31/1991,0.013458
11/29/1991,-0.040214
12/31/1991,0.114089
01/31/1992,-0.018348
02/28/1992,0.012865
